[INFO:2021-04-13 16:58:52,374] waiting CLOSING sell-bitbank/buy-liquid margin:-6473, close_threshold:-2067
[INFO:2021-04-13 16:58:55,431] waiting CLOSING sell-bitbank/buy-liquid margin:-6070, close_threshold:-2067
[INFO:2021-04-13 16:58:58,517] waiting CLOSING sell-bitbank/buy-liquid margin:-3700, close_threshold:-2067
[INFO:2021-04-13 16:59:01,603] waiting CLOSING sell-bitbank/buy-liquid margin:-3105, close_threshold:-2067
[INFO:2021-04-13 16:59:04,706] waiting CLOSING sell-bitbank/buy-liquid margin:-2169, close_threshold:-2067
[INFO:2021-04-13 16:59:07,771] waiting CLOSING sell-bitbank/buy-liquid margin:-2159, close_threshold:-2067
[INFO:2021-04-13 16:59:10,830] waiting CLOSING sell-bitbank/buy-liquid margin:-2099, close_threshold:-2067
[INFO:2021-04-13 16:59:13,904] waiting CLOSING sell-bitbank/buy-liquid margin:-1838, close_threshold:-2067
[INFO:2021-04-13 16:59:17,410] waiting OPENING sell-liquid/buy-bitbank margin:1696, open_threshold:4631
[INFO:2021-04-13 16:59:20,493] waiting OPENING sell-liquid/buy-bitbank margin:5734, open_threshold:4631
[INFO:2021-04-13 16:59:24,076] waiting CLOSING sell-bitbank/buy-liquid margin:-6932, close_threshold:-2734
[INFO:2021-04-13 16:59:27,155] waiting CLOSING sell-bitbank/buy-liquid margin:-5875, close_threshold:-2734
[INFO:2021-04-13 16:59:30,258] waiting CLOSING sell-bitbank/buy-liquid margin:-5860, close_threshold:-2734
[INFO:2021-04-13 16:59:33,331] waiting CLOSING sell-bitbank/buy-liquid margin:-5860, close_threshold:-2734
[INFO:2021-04-13 16:59:36,398] waiting CLOSING sell-bitbank/buy-liquid margin:-5700, close_threshold:-2734
[INFO:2021-04-13 16:59:39,446] waiting CLOSING sell-bitbank/buy-liquid margin:-7614, close_threshold:-2734
[INFO:2021-04-13 16:59:42,508] waiting CLOSING sell-bitbank/buy-liquid margin:-5400, close_threshold:-2734
[INFO:2021-04-13 16:59:45,564] waiting CLOSING sell-bitbank/buy-liquid margin:-6342, close_threshold:-2734
[INFO:2021-04-13 16:59:48,601] waiting CLOSING sell-bitbank/buy-liquid margin:-5305, close_threshold:-2734
[INFO:2021-04-13 16:59:51,661] waiting CLOSING sell-bitbank/buy-liquid margin:-7223, close_threshold:-2734
[INFO:2021-04-13 16:59:54,707] waiting CLOSING sell-bitbank/buy-liquid margin:-7322, close_threshold:-2734
[INFO:2021-04-13 16:59:57,752] waiting CLOSING sell-bitbank/buy-liquid margin:-7176, close_threshold:-2734
[INFO:2021-04-13 17:00:00,814] waiting CLOSING sell-bitbank/buy-liquid margin:-8384, close_threshold:-2734
[INFO:2021-04-13 17:00:03,861] waiting CLOSING sell-bitbank/buy-liquid margin:-6076, close_threshold:-2734
[INFO:2021-04-13 17:00:06,930] waiting CLOSING sell-bitbank/buy-liquid margin:-7969, close_threshold:-2734
[INFO:2021-04-13 17:00:10,016] waiting CLOSING sell-bitbank/buy-liquid margin:-5017, close_threshold:-2734
[INFO:2021-04-13 17:00:13,095] waiting CLOSING sell-bitbank/buy-liquid margin:-8058, close_threshold:-2734
[INFO:2021-04-13 17:00:16,159] waiting CLOSING sell-bitbank/buy-liquid margin:-7967, close_threshold:-2734
[INFO:2021-04-13 17:00:19,216] waiting CLOSING sell-bitbank/buy-liquid margin:-9691, close_threshold:-2734
[INFO:2021-04-13 17:00:22,268] waiting CLOSING sell-bitbank/buy-liquid margin:-9691, close_threshold:-2734
[INFO:2021-04-13 17:00:25,321] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:28,379] waiting CLOSING sell-bitbank/buy-liquid margin:-8492, close_threshold:-2734
[INFO:2021-04-13 17:00:31,430] waiting CLOSING sell-bitbank/buy-liquid margin:-8458, close_threshold:-2734
[INFO:2021-04-13 17:00:34,498] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:37,545] waiting CLOSING sell-bitbank/buy-liquid margin:-9982, close_threshold:-2734
[INFO:2021-04-13 17:00:40,592] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:43,638] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:46,681] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:50,061] waiting CLOSING sell-bitbank/buy-liquid margin:-10143, close_threshold:-2734
[INFO:2021-04-13 17:00:53,107] waiting CLOSING sell-bitbank/buy-liquid margin:-11607, close_threshold:-2734
[INFO:2021-04-13 17:00:56,180] waiting CLOSING sell-bitbank/buy-liquid margin:-7495, close_threshold:-2734
[INFO:2021-04-13 17:00:59,315] waiting CLOSING sell-bitbank/buy-liquid margin:-7596, close_threshold:-2734
[INFO:2021-04-13 17:01:02,385] waiting CLOSING sell-bitbank/buy-liquid margin:-7596, close_threshold:-2734
[INFO:2021-04-13 17:01:05,434] waiting CLOSING sell-bitbank/buy-liquid margin:-11028, close_threshold:-2734
[INFO:2021-04-13 17:01:08,492] waiting CLOSING sell-bitbank/buy-liquid margin:-11239, close_threshold:-2734
[INFO:2021-04-13 17:01:11,551] waiting CLOSING sell-bitbank/buy-liquid margin:-12893, close_threshold:-2734
[INFO:2021-04-13 17:01:14,597] waiting CLOSING sell-bitbank/buy-liquid margin:-7017, close_threshold:-2734
[INFO:2021-04-13 17:01:17,652] waiting CLOSING sell-bitbank/buy-liquid margin:-6987, close_threshold:-2734
[INFO:2021-04-13 17:01:20,706] waiting CLOSING sell-bitbank/buy-liquid margin:-7321, close_threshold:-2734
[INFO:2021-04-13 17:01:23,762] waiting CLOSING sell-bitbank/buy-liquid margin:-7661, close_threshold:-2734
[INFO:2021-04-13 17:01:26,811] waiting CLOSING sell-bitbank/buy-liquid margin:-9207, close_threshold:-2734
[INFO:2021-04-13 17:01:29,862] waiting CLOSING sell-bitbank/buy-liquid margin:-9472, close_threshold:-2734
[INFO:2021-04-13 17:01:32,925] waiting CLOSING sell-bitbank/buy-liquid margin:-6284, close_threshold:-2734
[INFO:2021-04-13 17:01:35,984] waiting CLOSING sell-bitbank/buy-liquid margin:-6836, close_threshold:-2734
[INFO:2021-04-13 17:01:39,038] waiting CLOSING sell-bitbank/buy-liquid margin:-9217, close_threshold:-2734
