[INFO:2020-03-25 16:51:11,213] waiting OPENING sell-coincheck/buy-liquid margin:1, open_threshold:2000
[INFO:2020-03-25 16:51:12,276] waiting OPENING sell-coincheck/buy-liquid margin:21, open_threshold:2000
[INFO:2020-03-25 16:51:13,332] waiting OPENING sell-coincheck/buy-liquid margin:21, open_threshold:2000
[INFO:2020-03-25 16:51:14,381] waiting OPENING sell-coincheck/buy-liquid margin:1, open_threshold:2000
[INFO:2020-03-25 16:51:15,435] waiting OPENING sell-coincheck/buy-liquid margin:5, open_threshold:2000
[INFO:2020-03-25 16:51:16,504] waiting OPENING sell-coincheck/buy-liquid margin:5, open_threshold:2000
[INFO:2020-03-25 16:51:17,564] waiting OPENING sell-coincheck/buy-liquid margin:5, open_threshold:2000
[INFO:2020-03-25 16:51:18,628] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:19,689] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:20,763] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:21,828] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:22,871] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:23,925] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:25,005] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:26,056] waiting OPENING sell-coincheck/buy-liquid margin:10, open_threshold:2000
[INFO:2020-03-25 16:51:27,185] waiting OPENING sell-coincheck/buy-liquid margin:3, open_threshold:2000
[INFO:2020-03-25 16:51:28,242] waiting OPENING sell-coincheck/buy-liquid margin:3, open_threshold:2000
[INFO:2020-03-25 16:51:29,319] waiting OPENING sell-coincheck/buy-liquid margin:802, open_threshold:2000
[INFO:2020-03-25 16:51:30,393] waiting OPENING sell-coincheck/buy-liquid margin:802, open_threshold:2000
[INFO:2020-03-25 16:51:31,445] waiting OPENING sell-coincheck/buy-liquid margin:839, open_threshold:2000
[INFO:2020-03-25 16:51:32,495] waiting OPENING sell-coincheck/buy-liquid margin:839, open_threshold:2000
[INFO:2020-03-25 16:51:33,555] waiting OPENING sell-coincheck/buy-liquid margin:699, open_threshold:2000
[INFO:2020-03-25 16:51:34,626] waiting OPENING sell-coincheck/buy-liquid margin:699, open_threshold:2000
[INFO:2020-03-25 16:51:35,689] waiting OPENING sell-coincheck/buy-liquid margin:617, open_threshold:2000
[INFO:2020-03-25 16:51:36,765] waiting OPENING sell-coincheck/buy-liquid margin:151, open_threshold:2000
[INFO:2020-03-25 16:51:37,815] waiting OPENING sell-coincheck/buy-liquid margin:378, open_threshold:2000
[INFO:2020-03-25 16:51:38,879] waiting OPENING sell-coincheck/buy-liquid margin:378, open_threshold:2000
[INFO:2020-03-25 16:51:39,938] waiting OPENING sell-coincheck/buy-liquid margin:378, open_threshold:2000
[INFO:2020-03-25 16:51:41,067] waiting OPENING sell-coincheck/buy-liquid margin:378, open_threshold:2000
[INFO:2020-03-25 16:51:42,113] waiting OPENING sell-coincheck/buy-liquid margin:67, open_threshold:2000
[INFO:2020-03-25 16:51:43,171] waiting OPENING sell-coincheck/buy-liquid margin:67, open_threshold:2000
[INFO:2020-03-25 16:51:44,222] waiting OPENING sell-coincheck/buy-liquid margin:-227, open_threshold:2000
[INFO:2020-03-25 16:51:45,307] waiting OPENING sell-coincheck/buy-liquid margin:-227, open_threshold:2000
[INFO:2020-03-25 16:51:46,354] waiting OPENING sell-coincheck/buy-liquid margin:-227, open_threshold:2000
[INFO:2020-03-25 16:51:47,418] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:48,474] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:49,552] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:50,606] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:51,677] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:52,751] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:53,800] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:54,871] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:55,917] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:57,001] waiting OPENING sell-coincheck/buy-liquid margin:-109, open_threshold:2000
[INFO:2020-03-25 16:51:58,057] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:51:59,134] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:00,192] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:01,258] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:02,308] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:03,367] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:04,419] waiting OPENING sell-coincheck/buy-liquid margin:0, open_threshold:2000
[INFO:2020-03-25 16:52:05,490] waiting OPENING sell-coincheck/buy-liquid margin:-141, open_threshold:2000
[INFO:2020-03-25 16:52:06,555] waiting OPENING sell-coincheck/buy-liquid margin:-141, open_threshold:2000
[INFO:2020-03-25 16:52:07,631] waiting OPENING sell-coincheck/buy-liquid margin:-157, open_threshold:2000
[INFO:2020-03-25 16:52:08,739] waiting OPENING sell-coincheck/buy-liquid margin:-152, open_threshold:2000
[INFO:2020-03-25 16:52:09,803] waiting OPENING sell-coincheck/buy-liquid margin:-152, open_threshold:2000
[INFO:2020-03-25 16:52:10,920] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
[INFO:2020-03-25 16:52:11,979] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
[INFO:2020-03-25 16:52:13,110] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
[INFO:2020-03-25 16:52:14,158] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
[INFO:2020-03-25 16:52:15,224] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
[INFO:2020-03-25 16:52:16,289] waiting OPENING sell-coincheck/buy-liquid margin:-271, open_threshold:2000
