[INFO:2020-03-25 10:41:44,664] waiting OPENING sell-coincheck/buy-liquid margin:-42, open_threshold:2000
[INFO:2020-03-25 10:41:45,781] waiting OPENING sell-coincheck/buy-liquid margin:136, open_threshold:2000
[INFO:2020-03-25 10:41:46,833] waiting OPENING sell-coincheck/buy-liquid margin:-112, open_threshold:2000
[INFO:2020-03-25 10:41:47,882] waiting OPENING sell-coincheck/buy-liquid margin:-62, open_threshold:2000
[INFO:2020-03-25 10:41:48,922] waiting OPENING sell-coincheck/buy-liquid margin:-62, open_threshold:2000
[INFO:2020-03-25 10:41:49,986] waiting OPENING sell-coincheck/buy-liquid margin:-62, open_threshold:2000
[INFO:2020-03-25 10:41:51,051] waiting OPENING sell-coincheck/buy-liquid margin:-62, open_threshold:2000
[INFO:2020-03-25 10:41:52,105] waiting OPENING sell-coincheck/buy-liquid margin:-209, open_threshold:2000
[INFO:2020-03-25 10:41:53,156] waiting OPENING sell-coincheck/buy-liquid margin:-209, open_threshold:2000
[INFO:2020-03-25 10:41:54,207] waiting OPENING sell-coincheck/buy-liquid margin:-281, open_threshold:2000
[INFO:2020-03-25 10:41:55,497] waiting OPENING sell-coincheck/buy-liquid margin:-281, open_threshold:2000
[INFO:2020-03-25 10:41:56,556] waiting OPENING sell-coincheck/buy-liquid margin:-281, open_threshold:2000
[INFO:2020-03-25 10:41:57,611] waiting OPENING sell-coincheck/buy-liquid margin:-258, open_threshold:2000
[INFO:2020-03-25 10:41:58,660] waiting OPENING sell-coincheck/buy-liquid margin:-326, open_threshold:2000
[INFO:2020-03-25 10:41:59,724] waiting OPENING sell-coincheck/buy-liquid margin:-326, open_threshold:2000
[INFO:2020-03-25 10:42:00,780] waiting OPENING sell-liquid/buy-coincheck margin:-125, open_threshold:2000
[INFO:2020-03-25 10:42:01,832] waiting OPENING sell-liquid/buy-coincheck margin:-125, open_threshold:2000
[INFO:2020-03-25 10:42:02,890] waiting OPENING sell-liquid/buy-coincheck margin:-199, open_threshold:2000
[INFO:2020-03-25 10:42:03,952] waiting OPENING sell-liquid/buy-coincheck margin:-199, open_threshold:2000
[INFO:2020-03-25 10:42:05,122] waiting OPENING sell-coincheck/buy-liquid margin:-238, open_threshold:2000
[INFO:2020-03-25 10:42:06,176] waiting OPENING sell-coincheck/buy-liquid margin:-160, open_threshold:2000
[INFO:2020-03-25 10:42:07,227] waiting OPENING sell-coincheck/buy-liquid margin:-106, open_threshold:2000
